"case_id","category","ai_confidence","ai_root_cause","expected_fault","human_decision","corrected_answer","reviewer_notes"
"CASE-001","vlan","0.9","The SVI for VLAN 30 has line protocol down because no active access port is assigned to VLAN 30, preventing inter-VLAN routing for the HR subnet.","SVI for VLAN 30 is down (line protocol down) because no active access port is assigned to VLAN 30. PC-B port Gi0/3 was never added to VLAN 30.","Accepted","",""
"CASE-002","vlan","0.9","VLAN 10 is excluded from the trunk allowed-VLAN list on SW1 Gi0/1, so VLAN 10 frames are dropped on the trunk and never reach SW2.","VLAN 10 is explicitly excluded from the trunk allowed-VLAN list (1-9,11-4094 skips 10). Command needed: switchport trunk allowed vlan add 10","Accepted","","AI identified the excluded VLAN 10 from the trunk allowed list with correct evidence from 'Vlans allowed on trunk' field. Fix command is correct."
"CASE-003","vlan","0.9","The trunk link between SW1 and SW2 has a native VLAN mismatch (SW1 native=1, SW2 native=99), causing untagged frames to be received on the wrong VLAN and triggering a Spanning Tree inconsistency.","Native VLAN mismatch between SW1 (native 1) and SW2 (native 99). Fix: set both trunk ports to the same native VLAN with 'switchport trunk native vlan 99'.","Accepted","","AI correctly identified native VLAN mismatch using the CDP error message and STP blocking state. Both pieces of evidence are necessary and correctly cited."
"CASE-004","vlan","0.9","VLAN 50 is assigned to port Gi0/5 but does not exist in the VLAN database, causing the port to show 'Access Mode VLAN: 50 (Inactive)' and fall back to VLAN 1.","VLAN 50 is referenced in port config but does not exist in the VLAN database. Port falls back to VLAN 1. Fix: 'vlan 50' then 'name <name>' in global config.","Accepted","",""
"CASE-005","vlan","0.9","The vlan.dat file was deleted before the reload, erasing all locally defined VLANs. In VTP Transparent mode, VLANs are stored in vlan.dat rather than propagated by VTP, so the deletion is permanent across reloads.","The vlan.dat file was deleted before reload, removing all locally defined VLANs. In VTP Transparent mode VLANs are stored in vlan.dat. Restore from backup or re-create VLANs manually.","Edited","The vlan.dat file was deleted before reload in VTP Transparent mode, erasing all locally stored VLANs. Recovery requires restoring from backup or manually re-creating each VLAN. The AI's fix steps are correct but it should also recommend switching to VTP Server mode with a proper revision number check to prevent future accidental overwrites.","AI answer is correct on the root cause but the fix steps are incomplete — it does not mention the risk of VTP revision number conflicts if VLANs are re-added manually while connected to a VTP domain, nor does it recommend backing up vlan.dat proactively going forward."
"CASE-006","gateway","0.9","The PC's default gateway is configured as 192.168.1.254 but no device in the network owns that IP address — the actual router interface is 192.168.1.1 — so all off-subnet traffic is undeliverable.","PC default gateway is set to 192.168.1.254 but the router interface is 192.168.1.1. PC sends all off-subnet traffic to a non-existent host. Fix: change PC gateway to 192.168.1.1.","Accepted","",""
"CASE-007","gateway","0.9","OSPF is using the default reference bandwidth of 100 Mbps, causing both FastEthernet and GigabitEthernet interfaces to calculate a cost of 1, so OSPF cannot differentiate between the slower and faster paths.","OSPF auto-cost reference bandwidth is 100 Mbps (default). GigabitEthernet cost rounds to 1, same as FastEthernet, so OSPF may prefer the wrong path. Fix: set 'auto-cost reference-bandwidth 10000' on all OSPF routers.","Edited","The OSPF reference bandwidth is set to the default 100 Mbps, making both FastEthernet and GigabitEthernet interfaces calculate a cost of 1. Traffic always takes whatever path OSPF selected first (in this case FastEthernet) because OSPF cannot distinguish between the two equal-cost links. Fix: set 'auto-cost reference-bandwidth 10000' on ALL OSPF routers consistently.","AI is mostly correct but understates the issue — it says OSPF 'may prefer the wrong path' when in fact both links have identical cost=1 and OSPF will load-balance or arbitrarily pick one. The AI also doesn't emphasize strongly enough that the reference-bandwidth change MUST be applied to every OSPF router in the domain to avoid inconsistent metrics."
"CASE-008","gateway","0.9","Interface GigabitEthernet0/1 on R1 is in administrative shutdown, so the connected route for 192.168.3.0/24 is absent from the routing table and hosts in that subnet are unreachable.","Gi0/1 is in administrative shutdown. Connected route for 192.168.3.0/24 is absent. Fix: 'no shutdown' on Gi0/1.","Accepted","","AI directly identified the 'administratively down' shutdown state on Gi0/1 and confirmed the missing connected route. Fix is correct and verified with show ip route."
"CASE-009","gateway","0.9","HSRP object tracking and preempt are not configured on R1, so when R1's WAN uplink fails its HSRP priority is not decremented and R2 never becomes active — the virtual gateway becomes unreachable.","HSRP tracking is not configured on R1. When R1 WAN uplink fails its priority is not decremented, so R2 never takes over. Fix: 'standby 1 track <WAN-interface> decrement 20' and 'standby 1 preempt' on R1.","Accepted","","AI correctly identified missing HSRP tracking and preempt as the root cause. The explanation of why the priority stays at 110 even on uplink failure is accurate."
"CASE-010","dhcp","0.9","The ip helper-address for DHCP relay is missing on the VLAN 20 SVI, so DHCP Discover packets from the 10.20.0.0/24 subnet arrive at R1 without a giaddr in the 10.20.0.0/24 range and are matched to POOL_A instead of POOL_B.","The relay (ip helper-address) is missing on the VLAN 20 SVI so all DHCP requests arrive on VLAN 10 interface and match POOL_A. Fix: add 'ip helper-address <R1-IP>' on the VLAN 20 SVI.","Edited","The ip helper-address is missing on the VLAN 20 SVI of the inter-VLAN routing device. Without it, DHCP Discover packets from 10.20.0.0/24 clients arrive at R1 without a giaddr in the 10.20.0.0 range, causing R1 to match them to the wrong pool (POOL_A). Fix: add 'ip helper-address <R1-IP>' on the VLAN 20 SVI.","AI answer is correct in substance. However, the confidence should be 'medium' not 'high' because the show_output does not directly show the VLAN 20 SVI config — the missing helper-address is inferred from the binding table anomaly, not directly observed. The AI stated high confidence on inferred evidence, which is an overstatement."
"CASE-011","dhcp","0.9","The DHCP pool LAN_POOL is missing both the 'default-router' and 'dns-server' options, so clients receive an IP address but cannot forward traffic off-subnet or resolve hostnames.","DHCP pool LAN_POOL is missing 'default-router' and 'dns-server' options. Clients receive an IP but cannot route or resolve DNS. Fix: add 'default-router 192.168.1.1' and 'dns-server 8.8.8.8' inside the pool.","Accepted","","AI identified the missing default-router and dns-server options with direct quote from the output comments. Binding table evidence confirms IPs are being issued (ruling out other faults). Fix steps are complete."
"CASE-012","dhcp","0.9","The DHCP pool is exhausted — it was sized for only 50 addresses (192.168.1.11–192.168.1.60) but the office has 254 hosts, so new clients cannot obtain a lease and fall back to APIPA addresses.","Pool provides only 50 leases (192.168.1.11 - 192.168.1.60) for 254 hosts. Pool exhausted. Fix: extend range or reduce lease time with 'lease 0 4' (4-hour leases).","Accepted","","AI correctly identified pool exhaustion from 'Total addresses: 50 / Leased addresses: 50'. Both remediation options (expand range, reduce lease time) are valid."
"CASE-013","dhcp","0.9","The 'ip helper-address' DHCP relay command is missing on R2's GigabitEthernet0/1 interface, so DHCP Discover broadcasts from the 10.30.0.0/24 subnet are not forwarded to R1 and clients receive no IP address.","'ip helper-address <R1-IP>' is missing on R2 Gi0/1. DHCP broadcasts are not relayed to R1. Fix: add 'ip helper-address <R1_IP>' on R2 Gi0/1.","Accepted","","AI correctly diagnosed missing ip helper-address on R2 Gi0/1 and cited the debug output 'DHCPD: no subnet defined for 10.30.0.1' as corroborating evidence."
"CASE-014","dhcp","0.9","DHCP snooping is not enabled on the switch, allowing a rogue DHCP server on Gi0/7 to distribute incorrect gateway addresses to clients on VLAN 10.","DHCP snooping is not enabled. Rogue DHCP server on Gi0/7 serves incorrect gateways. Fix: 'ip dhcp snooping vlan 10', trust legitimate uplinks with 'ip dhcp snooping trust'.","Accepted","","AI correctly identified DHCP snooping as not configured, allowing the rogue server. Evidence cites both the snooping binding anomaly and the config comment. Fix steps are complete and accurate."
"CASE-015","dns","0.9","The DNS server IP pushed to clients via DHCP (192.168.1.200) points to a non-existent host, causing all name resolution to fail even though IP connectivity is working.","DNS server address pushed via DHCP (192.168.1.200) points to a non-existent host. Fix: update DHCP pool dns-server to a reachable resolver such as 8.8.8.8.","Accepted","","AI correctly isolated the fault to the unreachable DNS server IP (192.168.1.200) using the successful IP ping vs failed hostname resolution pattern. Fix correctly targets the DHCP pool dns-server option."
"CASE-016","dns","0.9","An ACL named BLOCK_DNS is denying UDP port 53 traffic from any source to the ISP DNS server 203.0.113.53, so external DNS queries time out even though the server is otherwise reachable.","ACL BLOCK_DNS denies UDP port 53 to ISP DNS server. DNS queries dropped before reaching 203.0.113.53. Fix: remove ACL entry 10 or add permit for UDP/53 to the DNS server.","Accepted","","AI identified ACL BLOCK_DNS entry 10 with 22 active hit-count matches as the direct evidence. The contrast between successful ICMP ping (reachable) vs DNS timeout (UDP/53 blocked) is correctly used."
"CASE-017","dns","0.6","Serial0/1 has a physical layer problem causing 312 input errors and 189 CRC errors, resulting in packet corruption that makes DNS queries routed through it time out.","Serial0/1 has high CRC errors indicating a physical or MTU issue. DNS queries routed via Serial0/1 fail. Fix: investigate cable/CSU-DSU on S0/1 or route DNS traffic only via S0/0.","Edited","Serial0/1 has a physical or framing layer fault evidenced by 312 input errors and 189 CRC errors. DNS queries routed through Serial0/1 are corrupted or dropped. The most likely cause is a CSU/DSU clocking mismatch, bad cable, or line quality issue on the Serial0/1 WAN link. Fix: check physical layer with 'show controllers Serial0/1', resolve the clocking or cable fault, and verify CRC errors clear.","AI correctly identified the CRC errors on Serial0/1 as the cause, but it said 'possibly MTU mismatch' in the prompt context — however the show output does not mention MTU mismatch, only CRC errors. Mentioning MTU without evidence in the output is a subtle hallucination. The real issue is physical-layer corruption. Confidence should be medium (additional physical investigation needed), which the AI correctly stated."
"CASE-018","routing","0.9","R3's GigabitEthernet0/2 interface (the 10.50.0.0/24 local interface) is shut down, removing the connected route. R3's static route for 10.50.0.0/24 points back to R2, creating a routing loop between R2 and R3.","R3 Gi0/2 (the 10.50.0.0/24 interface) is shutdown so the connected route is absent and R3 static route loops back to R2. Fix: 'no shutdown' on R3 Gi0/2.","Accepted","","AI correctly identified R3 Gi0/2 shutdown as the root cause and the routing loop caused by R3's static route pointing back to R2. Traceroute evidence is directly quoted."
"CASE-019","routing","0.9","An MTU mismatch between R1 (MTU 1500) and R2 (MTU 1400) on their shared Ethernet segment prevents OSPF Database Description (DBD) packets from being fully exchanged, keeping the adjacency stuck in EXSTART state.","MTU mismatch between R1 (1500) and R2 (1400). OSPF DBD packets from R1 exceed R2 MTU and are dropped, preventing LSA exchange. Fix: match MTUs with 'ip mtu 1400' on R1 Gi0/0, or use 'ip ospf mtu-ignore' as workaround.","Accepted","","AI correctly identified MTU mismatch (1500 vs 1400) causing OSPF EXSTART failure. Evidence cites both the MTU values and the retransmission counter. Both fix options (match MTU, mtu-ignore) are correct."
