"case_id","category","symptom","topology_note","show_output","expected_fault","osi_layer","concept_tag","severity"
"CASE-001","vlan","PC in VLAN 20 cannot reach PC in VLAN 30; both can ping their default gateway.","SW1 (3560) inter-VLAN routing; SVI for VLAN 20 (192.168.20.1) and VLAN 30 (192.168.30.1). PC-A: 192.168.20.10/24, PC-B: 192.168.30.10/24.","SW1# show vlan brief

VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Gi0/1
20   SALES                            active    Gi0/2
30   HR                               active
1002 fddi-default                     act/unsup
1003 token-ring-default               act/unsup
1004 fddinet-default                  act/unsup
1005 trnet-default                    act/unsup

SW1# show interfaces vlan 30
Vlan30 is up, line protocol is down","SVI for VLAN 30 is down (line protocol down) because no active access port is assigned to VLAN 30. PC-B port Gi0/3 was never added to VLAN 30.","2 - Data Link","vlan,svi,inter-vlan-routing","high"
"CASE-002","vlan","Trunk between SW1 and SW2 is up, but VLAN 10 traffic does not cross the trunk.","SW1 Gi0/1 <-> SW2 Gi0/1 trunk link. VLAN 10 (ENGINEERING) exists on both switches.","SW1# show interfaces trunk

Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

Port        Vlans allowed on trunk
Gi0/1       1-9,11-4094

Port        Vlans allowed and active in management domain
Gi0/1       1

Port        Vlans in spanning tree forwarding state and not pruned
Gi0/1       1","VLAN 10 is explicitly excluded from the trunk allowed-VLAN list (1-9,11-4094 skips 10). Command needed: switchport trunk allowed vlan add 10","2 - Data Link","vlan,trunk,802.1q,allowed-vlan","high"
"CASE-003","vlan","Native VLAN mismatch warning on trunk; spanning-tree port goes err-disabled.","SW1 Gi0/1 native VLAN 1; SW2 Gi0/1 native VLAN 99. CDP sends mismatch warning.","SW1# show interfaces Gi0/1 trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       desirable    802.1q         trunking      1

%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on
GigabitEthernet0/1 (1), with SW2 GigabitEthernet0/1 (99).

SW1# show spanning-tree vlan 1
VLAN0001
  ...
  Gi0/1   *BLK*   128.1    P2p","Native VLAN mismatch between SW1 (native 1) and SW2 (native 99). Fix: set both trunk ports to the same native VLAN with 'switchport trunk native vlan 99'.","2 - Data Link","vlan,trunk,native-vlan,cdp,spanning-tree","medium"
"CASE-004","vlan","Access port on SW1 is assigned to VLAN 50 but VLAN 50 does not exist in the VLAN database.","SW1 Gi0/5 configured as access port for VLAN 50. No VLAN 50 in VTP database.","SW1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- ------
1    default                          active    Gi0/5

SW1# show running-config interface GigabitEthernet0/5
interface GigabitEthernet0/5
 switchport access vlan 50
 switchport mode access

SW1# show interfaces GigabitEthernet0/5 switchport
Name: Gi0/5
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 50 (Inactive)","VLAN 50 is referenced in port config but does not exist in the VLAN database. Port falls back to VLAN 1. Fix: 'vlan 50' then 'name <name>' in global config.","2 - Data Link","vlan,vlan-database,access-port","medium"
"CASE-005","vlan","All VLANs were wiped from a switch after a reload; only VLAN 1 remains.","VTP mode is transparent on SW1. Technician ran 'delete flash:vlan.dat' before reload.","SW1# show vtp status
VTP Version capable             : 1 to 3
VTP version running             : 2
VTP Domain Name                 : CorpNet
VTP Pruning Mode                : Disabled
VTP Operating Mode              : Transparent
Maximum VLANs supported locally : 1005
Number of existing VLANs        : 1

SW1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- ------
1    default                          active    ...","The vlan.dat file was deleted before reload, removing all locally defined VLANs. In VTP Transparent mode VLANs are stored in vlan.dat. Restore from backup or re-create VLANs manually.","2 - Data Link","vlan,vtp,vlan.dat,transparent-mode","critical"
"CASE-006","gateway","PC can ping hosts on the local subnet but cannot reach anything beyond the router.","PC-A: 192.168.1.10/24, gateway 192.168.1.254. Router R1 Gi0/0: 192.168.1.1/24.","PC-A> ping 8.8.8.8
Request timeout for icmp_seq 0

PC-A> ping 192.168.1.1
84 bytes from 192.168.1.1: icmp_seq=1 ttl=255 time=1 ms

R1# show ip route 8.8.8.8
% Network not in table

PC-A ipconfig:
  Default Gateway . . . . . . . : 192.168.1.254  (unreachable - no host)","PC default gateway is set to 192.168.1.254 but the router interface is 192.168.1.1. PC sends all off-subnet traffic to a non-existent host. Fix: change PC gateway to 192.168.1.1.","3 - Network","gateway,ip-config,default-gateway","high"
"CASE-007","gateway","Router has two paths to 10.0.0.0/8; traffic always takes the slower WAN link.","R1 connected to HQ via FastEthernet (100 Mbps) and MPLS via GigabitEthernet (1 Gbps). Both learned via OSPF.","R1# show ip route ospf
O    10.0.0.0/8 [110/20] via 172.16.0.1, FastEthernet0/0

R1# show interfaces FastEthernet0/0
FastEthernet0/0 is up, line protocol is up
  MTU 1500 bytes, BW 100000 Kbit/sec

R1# show interfaces GigabitEthernet0/1
GigabitEthernet0/1 is up, line protocol is up
  MTU 1500 bytes, BW 1000000 Kbit/sec

R1# show ip ospf interface GigabitEthernet0/1
  Process ID 1, Router ID 1.1.1.1, Network Type POINT_TO_POINT
  Cost: 1","OSPF auto-cost reference bandwidth is 100 Mbps (default). GigabitEthernet cost rounds to 1, same as FastEthernet, so OSPF may prefer the wrong path. Fix: set 'auto-cost reference-bandwidth 10000' on all OSPF routers.","3 - Network","ospf,cost,reference-bandwidth,routing","medium"
"CASE-008","gateway","Hosts in 192.168.2.0/24 cannot reach 192.168.3.0/24 even though both subnets connect to R1.","R1 Gi0/0: 192.168.2.1/24, Gi0/1: 192.168.3.1/24. PC-B: 192.168.2.10 gateway 192.168.2.1.","R1# show ip route
Gateway of last resort is not set
     192.168.2.0/24 is variably subnetted, 2 subnets, 2 masks
C       192.168.2.0/24 is directly connected, GigabitEthernet0/0
L       192.168.2.1/32 is directly connected, GigabitEthernet0/0

R1# show interfaces GigabitEthernet0/1
GigabitEthernet0/1 is administratively down, line protocol is down

R1# show running-config interface GigabitEthernet0/1
interface GigabitEthernet0/1
 ip address 192.168.3.1 255.255.255.0
 shutdown","Gi0/1 is in administrative shutdown. Connected route for 192.168.3.0/24 is absent. Fix: 'no shutdown' on Gi0/1.","3 - Network","interface,shutdown,routing,connected-route","high"
"CASE-009","gateway","HSRP failover does not occur when the active router loses its uplink.","R1 (active, priority 110) and R2 (standby, priority 100) serving VLAN 10 gateway 10.10.10.1. HSRP group 1.","R1# show standby brief
Interface   Grp  Pri P State    Active          Standby         Virtual IP
Gi0/0       1    110   Active   local           10.10.10.2      10.10.10.1

R1# show running-config | section standby
 standby 1 ip 10.10.10.1
 standby 1 priority 110
 ! track object and preempt NOT configured

R2# show standby brief
Interface   Grp  Pri P State    Active          Standby         Virtual IP
Gi0/0       1    100   Standby  10.10.10.1      local           10.10.10.1","HSRP tracking is not configured on R1. When R1 WAN uplink fails its priority is not decremented, so R2 never takes over. Fix: 'standby 1 track <WAN-interface> decrement 20' and 'standby 1 preempt' on R1.","3 - Network","hsrp,gateway-redundancy,tracking,preempt","high"
"CASE-010","dhcp","Clients in 10.20.0.0/24 receive IP addresses in the 10.10.0.0/24 range instead of their own subnet.","R1 is DHCP server with two pools: POOL_A (10.10.0.0/24) and POOL_B (10.20.0.0/24). SW1 separates the subnets.","R1# show running-config | section dhcp
ip dhcp pool POOL_A
 network 10.10.0.0 255.255.255.0
 default-router 10.10.0.1
 dns-server 8.8.8.8
ip dhcp pool POOL_B
 network 10.20.0.0 255.255.255.0
 default-router 10.20.0.1

R1# show ip dhcp binding
IP address       Client-ID         Lease expiration        Type
10.10.0.2        0100.5056.b3.4a   Aug 26 2026 12:00 AM    Automatic
10.10.0.3        0100.5056.b3.4b   Aug 26 2026 12:00 AM    Automatic","The relay (ip helper-address) is missing on the VLAN 20 SVI so all DHCP requests arrive on VLAN 10 interface and match POOL_A. Fix: add 'ip helper-address <R1-IP>' on the VLAN 20 SVI.","3 - Network","dhcp,helper-address,ip-relay,pool","high"
