"section","label","value","note"
"category_distribution","vlan","5",""
"category_distribution","gateway","4",""
"category_distribution","dhcp","5",""
"category_distribution","dns","3",""
"category_distribution","routing","4",""
"category_distribution","acl","4",""
"category_distribution","nat","3",""
"category_distribution","wireless","4",""
"severity_distribution","critical","7",""
"severity_distribution","high","18",""
"severity_distribution","medium","7",""
"severity_distribution","low","0",""
"ai_human_agreement","Accepted","25","78% of 32 reviews"
"ai_human_agreement","Edited","6","18% of 32 reviews"
"ai_human_agreement","Rejected","1","3% of 32 reviews"
"osi_layer_distribution","1 - Physical","2",""
"osi_layer_distribution","2 - Data Link","9",""
"osi_layer_distribution","3 - Network","16",""
"osi_layer_distribution","4 - Transport","2",""
"osi_layer_distribution","7 - Application","3",""
"confidence_by_category","vlan_high","5",""
"confidence_by_category","gateway_high","4",""
"confidence_by_category","dhcp_high","5",""
"confidence_by_category","dns_high","2",""
"confidence_by_category","dns_medium","1",""
"confidence_by_category","routing_high","4",""
"confidence_by_category","acl_high","4",""
"confidence_by_category","nat_high","1",""
"confidence_by_category","nat_medium","2",""
"confidence_by_category","wireless_high","4",""
